Age,Potential,Value_Raw,Wage_Raw,Value_Numeric,Wage_Numeric,Height_cm,Weight_kg,Crossing,Finishing,Heading_accuracy,Short_passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_passing,Ball_control,Acceleration,Sprint_speed,Agility,Reactions,Balance,Shot_power,Jumping,Stamina,Strength,Long_shots,Aggression,Interceptions,Vision,Penalties,Composure,Standing_tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Positions_CAM,Positions_CB,Positions_CDM,Positions_CF,Positions_CM,Positions_GK,Positions_LAM,Positions_LB,Positions_LCB,Positions_LCM,Positions_LDM,Positions_LM,Positions_LS,Positions_LW,Positions_LWB,Positions_RAM,Positions_RB,Positions_RCB,Positions_RCM,Positions_RDM,Positions_RES,Positions_RF,Positions_RM,Positions_RS,Positions_RW,Positions_RWB,Positions_ST,Preferred_Foot_Left,Preferred_Foot_Right
22.0,59.0,16,73,110000.0,0.0,165.0,64.0,46.0,41.0,35.0,46.0,35.0,50.0,43.0,45.0,44.0,50.0,64.0,54.0,79.0,43.0,85.0,39.0,38.0,56.0,32.0,41.0,59.0,34.0,45.0,36.0,46.0,32.0,12.0,10.0,11.0,6.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.0,84.0,154,44,5500000.0,27000.0,176.0,65.0,63.0,63.0,39.0,65.0,56.0,75.0,59.0,49.0,53.0,74.0,88.0,87.0,84.0,71.0,78.0,60.0,57.0,58.0,48.0,59.0,44.0,24.0,64.0,53.0,68.0,29.0,15.0,14.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,83.0,59,69,2600000.0,47000.0,175.0,70.0,57.0,71.0,58.0,60.0,60.0,66.0,65.0,47.0,55.0,66.0,83.0,82.0,83.0,59.0,81.0,63.0,72.0,59.0,59.0,64.0,50.0,28.0,63.0,61.0,60.0,27.0,12.0,13.0,6.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.0,57.0,11,73,100000.0,0.0,170.0,60.0,30.0,33.0,47.0,58.0,37.0,49.0,35.0,36.0,57.0,47.0,35.0,57.0,55.0,51.0,46.0,50.0,43.0,40.0,59.0,39.0,54.0,45.0,46.0,40.0,45.0,37.0,6.0,9.0,10.0,11.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28.0,67.0,210,73,925000.0,0.0,176.0,74.0,64.0,56.0,45.0,56.0,38.0,63.0,59.0,35.0,50.0,59.0,82.0,81.0,73.0,64.0,70.0,45.0,67.0,68.0,63.0,38.0,61.0,67.0,62.0,48.0,52.0,65.0,10.0,14.0,10.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,64.0,101,48,300000.0,2000.0,182.0,78.0,64.0,24.0,39.0,67.0,22.0,66.0,68.0,27.0,63.0,63.0,65.0,55.0,57.0,67.0,60.0,21.0,53.0,64.0,61.0,20.0,65.0,60.0,62.0,35.0,63.0,60.0,6.0,12.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,70.0,101,125,300000.0,0.0,186.0,80.0,44.0,45.0,42.0,64.0,44.0,57.0,41.0,40.0,59.0,58.0,63.0,67.0,59.0,52.0,65.0,49.0,58.0,56.0,73.0,41.0,50.0,40.0,52.0,48.0,52.0,48.0,11.0,11.0,8.0,15.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22.0,56.0,209,73,90000.0,0.0,176.0,64.0,30.0,43.0,46.0,55.0,31.0,52.0,38.0,32.0,54.0,51.0,52.0,46.0,55.0,50.0,66.0,45.0,40.0,65.0,47.0,47.0,60.0,49.0,48.0,37.0,40.0,55.0,13.0,12.0,15.0,7.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23.0,73.0,6,127,1600000.0,0.0,181.0,77.0,63.0,56.0,48.0,66.0,54.0,69.0,71.0,74.0,65.0,71.0,74.0,65.0,75.0,60.0,67.0,70.0,63.0,68.0,62.0,71.0,61.0,59.0,66.0,65.0,64.0,59.0,10.0,11.0,10.0,7.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.0,67.0,118,98,375000.0,6000.0,176.0,76.0,62.0,66.0,66.0,64.0,65.0,64.0,69.0,56.0,58.0,67.0,67.0,66.0,68.0,63.0,65.0,64.0,72.0,51.0,67.0,65.0,71.0,42.0,52.0,70.0,68.0,45.0,16.0,14.0,11.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
